Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Jiang D., Li G., Sun Y., Kong J., Tao B., Chen D.","57194035495;13408307700;57191647189;24831585700;54785420900;57190336898;","Grip strength forecast and rehabilitative guidance based on adaptive neural fuzzy inference system using sEMG",2022,"Personal and Ubiquitous Computing","26","4",,"1215","1224",,61,"10.1007/s00779-019-01268-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069864479&doi=10.1007%2fs00779-019-01268-3&partnerID=40&md5=ea0c150eb5d4fd64eaf5ad8831e598ba","Key Laboratory of Metallurgical Equipment and Control Technology, Ministry of Education, Wuhan University of Science and Technology, Wuhan, 430081, China; Institute of Precision Manufacturing, Wuhan University of Science and Technology, Wuhan University of Science and Technology, Wuhan, 430081, China; Research Center for Biomimetic Robot and Intelligent Measurement and Control, Wuhan University of Science and Technology, Wuhan, 430081, China; Hubei Key Laboratory of Mechanical Transmission and Manufacturing Engineering, Wuhan University of Science and Technology, Wuhan, 430081, China; School of Computing, University of Portsmouth, Portsmouth, PO1 3HE, United Kingdom","Jiang, D., Key Laboratory of Metallurgical Equipment and Control Technology, Ministry of Education, Wuhan University of Science and Technology, Wuhan, 430081, China; Li, G., Key Laboratory of Metallurgical Equipment and Control Technology, Ministry of Education, Wuhan University of Science and Technology, Wuhan, 430081, China, Institute of Precision Manufacturing, Wuhan University of Science and Technology, Wuhan University of Science and Technology, Wuhan, 430081, China, Research Center for Biomimetic Robot and Intelligent Measurement and Control, Wuhan University of Science and Technology, Wuhan, 430081, China; Sun, Y., Hubei Key Laboratory of Mechanical Transmission and Manufacturing Engineering, Wuhan University of Science and Technology, Wuhan, 430081, China; Kong, J., Key Laboratory of Metallurgical Equipment and Control Technology, Ministry of Education, Wuhan University of Science and Technology, Wuhan, 430081, China; Tao, B., Institute of Precision Manufacturing, Wuhan University of Science and Technology, Wuhan University of Science and Technology, Wuhan, 430081, China; Chen, D., School of Computing, University of Portsmouth, Portsmouth, PO1 3HE, United Kingdom","In order to resolve the problem of unstable control of force in human–computer interaction based on surface EMG signals, the adaptive neural fuzzy inference system is designed to achieve the grip strength assessment. As we know, the acquisition of surface EMG signal is non-invasive, which provides a better evaluation index for rehabilitation training in the medical process. By establishing the relationship between grip force and surface electromechanical signals, the effect of rehabilitation training can be evaluated directly while reducing the types of sensors used. Firstly, the experimental equipment are introduced, which are utilized to carry out simultaneous acquisition of surface EMG signals and forces. Then, the traditional features of sEMG and the corresponding algorithms are illustrated, based on this, supplementing the energy eigenvalue with wavelet analysis and fuzzy entropy. In which, fuzzy entropy is effective in characterizing muscle fatigue that can effectively reduce the impact of muscle fatigue on force assessment. Finally, combining fuzzy logic implication and neural network, the adaptive neural fuzzy inference system is designed, which is trained by extracted feature vectors. The experimental result shows the method used in this paper can effectively predict the grip force. Further, force prediction based on sEMG can be used to guide rehabilitation therapy in virtual space, combined with an electrical stimulator. © 2019, Springer-Verlag London Ltd., part of Springer Nature.","ANFIS; Fuzzy entropy; Grip strength forecast; Rehabilitation therapy; sEMG","Adaptive control systems; Computer control systems; Eigenvalues and eigenfunctions; Entropy; Forecasting; Fuzzy logic; Fuzzy systems; Human computer interaction; Muscle; ANFIS; Fuzzy entropy; Grip strength; Rehabilitation therapy; sEMG; Fuzzy inference",Article,"Final","",Scopus,2-s2.0-85069864479
"Kretschmer T., Leiponen A., Schilling M., Vasudeva G.","16239451700;8643272600;7201756153;26659279300;","Platform ecosystems as meta-organizations: Implications for platform strategies",2022,"Strategic Management Journal","43","3",,"405","424",,45,"10.1002/smj.3250","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096702213&doi=10.1002%2fsmj.3250&partnerID=40&md5=a783ae182f39dd2eb961bb11138230fc","Institute for Strategy, Technology and Organization, LMU Munich, Munich, Germany; Centre for Economic Policy Research, London, United Kingdom; Dyson School of Applied Economics and Management, Cornell University, Ithaca, NY, United States; Stern School of Business, New York University, New York, NY, United States; Carlson School of Management, University of Minnesota, Minneapolis, MN, United States","Kretschmer, T., Institute for Strategy, Technology and Organization, LMU Munich, Munich, Germany, Centre for Economic Policy Research, London, United Kingdom; Leiponen, A., Dyson School of Applied Economics and Management, Cornell University, Ithaca, NY, United States; Schilling, M., Stern School of Business, New York University, New York, NY, United States; Vasudeva, G., Carlson School of Management, University of Minnesota, Minneapolis, MN, United States","Research summary: Platform ecosystems have spurred new products and services, sparked innovation, and improved economic efficiency in various industries and technology sectors. A distinctive feature of the platform architecture is its modular and interdependent system of core and complementary components bound together by design rules and an overarching value proposition. Accordingly, we conceptualize platforms as meta-organizations, or “organizations of organizations” that are less formal and less hierarchical structures than firms, and yet more closely coupled than traditional markets. To function successfully, however, platforms require coordination among multiple participants not all of whose interests are aligned. These organizational features of platforms raise many interesting and complex strategic challenges and hold implications for how platforms compete. In this paper, we discuss some of the most salient features of platform ecosystems as meta-organizations, specifically in terms of the sources of authority or power in the ecosystem, the motivation and incentives a platform creates to attract participants, and its governance and coordination structures. We then consider how papers appearing in this special issue inform us about the effects of these features on platform competition along three distinct dimensions: (a) with traditional incumbents as platforms enter and establish themselves in new markets, (b) with other platforms to secure an advantageous market position, and (c) with the different participants on the platform to share the value that has been created jointly. We close by identifying some promising directions for future research. Managerial summary: Platform ecosystems have spurred new products and services, sparked innovation, and improved economic efficiency in various industries and technology sectors. A distinctive feature of the platform architecture is its modular and interdependent system of core and complementary components bound together by design rules and an overarching value proposition. This makes platform ecosystems an organizational form on its own (a “meta-organization”), neither possessing the hierarchical instruments of a firm, nor the largely uncoordinated decisionmaking of markets. Successful platform ecosystems require coordination among multiple participants with possibly conflicting interests. We discuss some of the most salient features of platform ecosystems as meta-organizations, specifically in terms of the sources of authority or power in the ecosystem, the motivation and incentives a platform creates to attract participants, and its governance and coordination structures. These features affect how platform ecosystems compete: i) with a traditional incumbent, ii) with other platform ecosystems, and iii) between different participants of the same platform ecosystem. The articles published in this special issue speak to different aspects of platform competition from the perspective of organization design. © 2020 The Authors. Strategic Management Journal published by John Wiley & Sons Ltd.","complementor strategies; ecosystems; multisided markets; platform governance; platforms","Commerce; Computer architecture; Economic and social effects; Efficiency; Motivation; Service industry; Coordination structures; Economic efficiency; Hierarchical structures; Interdependent systems; Organizational forms; Platform architecture; Products and services; Strategic challenges; Ecosystems",Article,"Final","",Scopus,2-s2.0-85096702213
"Rana N.P., Chatterjee S., Dwivedi Y.K., Akter S.","50262828700;56857082100;35239818900;36058277700;","Understanding dark side of artificial intelligence (AI) integrated business analytics: assessing firm’s operational inefficiency and competitiveness",2022,"European Journal of Information Systems","31","3",,"364","387",,38,"10.1080/0960085X.2021.1955628","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111903831&doi=10.1080%2f0960085X.2021.1955628&partnerID=40&md5=ff9548541ea4d6f9fb7da5f1d37f3957","College of Business and Economics, Qatar University, Doha, 2713, Qatar; Department of Computer Science & Engineering, Indian Institute of Technology, Kharagpur, India; Emerging Markets Research Centre (EMaRC), School of Management, Swansea University, Fabian Way, Swansea, United Kingdom; School of Business, Faculty of Business and Law, University of Wollongong, Australia","Rana, N.P., College of Business and Economics, Qatar University, Doha, 2713, Qatar; Chatterjee, S., Department of Computer Science & Engineering, Indian Institute of Technology, Kharagpur, India; Dwivedi, Y.K., Emerging Markets Research Centre (EMaRC), School of Management, Swansea University, Fabian Way, Swansea, United Kingdom; Akter, S., School of Business, Faculty of Business and Law, University of Wollongong, Australia","The data-centric revolution generally celebrates the proliferation of business analytics and AI in exploiting firm’s potential and success. However, there is a lack of research on how the unintended consequences of AI integrated business analytics (AI-BA) influence a firm’s overall competitive advantage. In this backdrop, this study aims to identify how factors, such as AI-BA opacity, suboptimal business decisions and perceived risk are responsible for a firm’s operational inefficiency and competitive disadvantage. Drawing on the resource-based view, dynamic capability view, and contingency theory, the proposed research model captures the components and effects of an AI-BA opacity on a firm’s risk environment and negative performance. The data were gathered from 355 operational, mid-level and senior managers from various service sectors across all different size organisations in India. The results indicated that lack of governance, poor data quality, and inefficient training of key employees led to an AI-BA opacity. It then triggers suboptimal business decisions and higher perceived risk resulting in operational inefficiency. The findings show that operational inefficiency significantly contributes to negative sales growth and employees’ dissatisfaction, which result in a competitive disadvantage for a firm. The findings also highlight the significant moderating effect of contingency plan in the nomological chain. © Operational Research Society 2021.","Artificial intelligence; business analytics; firm dis-performance; firm’s competitiveness; operational inefficiency; Patrick Mikalef, Aleš Popovic, Jenny Eriksson Lundström and Kieran Conboy","Advanced Analytics; Competition; Opacity; Personnel training; Sales; Service industry; Business analytics; Business decisions; Competitive advantage; Contingency theory; Dynamic capabilities; Integrated business; Resource-based view; Unintended consequences; Artificial intelligence",Article,"Final","",Scopus,2-s2.0-85111903831
"Garud R., Kumaraswamy A., Roberts A., Xu L.","6603580477;6602609537;57208327427;57223711330;","Liminal movement by digital platform-based sharing economy ventures: The case of Uber Technologies",2022,"Strategic Management Journal","43","3",,"447","475",,37,"10.1002/smj.3148","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083714316&doi=10.1002%2fsmj.3148&partnerID=40&md5=df92112935c800623058e45f4e488a00","Management and Organization Department, The Pennsylvania State University, Smeal College of Business, University Park, PA, United States; Department of International Business, Florida International University, College of Business, Miami, FL, United States","Garud, R., Management and Organization Department, The Pennsylvania State University, Smeal College of Business, University Park, PA, United States; Kumaraswamy, A., Department of International Business, Florida International University, College of Business, Miami, FL, United States; Roberts, A., Management and Organization Department, The Pennsylvania State University, Smeal College of Business, University Park, PA, United States; Xu, L., Department of International Business, Florida International University, College of Business, Miami, FL, United States","Research Summary: We explore the challenges that digital platform-based sharing economy ventures confront in establishing legitimacy for their business models by examining the dynamics that ensued when Uber Technologies deployed its ridesharing business model in four U.S. cities. Uber entered each city to jump-start network effects by establishing cognitive legitimacy while deepening a sociopolitical legitimacy crisis that emerged due to mismatches between its business model and existing regulations. Operating between existing categories, Uber used a series of interrelated market and nonmarket strategies, which we label as liminal movement, to generate cognitive and sociopolitical legitimacy. Managerial Summary: Sharing economy ventures based on digital platforms confront market and institutional challenges in each context they enter. On entry, these ventures must rapidly build an ecosystem of users and service providers, and engage with local regulators, administrators, and social groups in order to gain acceptance. The key to a venture's survival and success is liminal movement or in other words, its ability to adapt its digital platform and business model to continually leverage opportunities and address concerns as they emerge. © 2020 John Wiley & Sons, Ltd.","business models; ecosystems; platforms; regulatory entrepreneurship; sharing economy","Management; Planning; Business modeling; Business models; Cognitive legitimacies; Digital platforms; Network effects; Non-market strategy; Service provider; Social groups; Commerce",Article,"Final","",Scopus,2-s2.0-85083714316
"Ren X., Li Y., yan C., Wen F., Lu Z.","57037599900;57226614327;56988306500;25639188900;57395678700;","The interrelationship between the carbon market and the green bonds market: Evidence from wavelet quantile-on-quantile method",2022,"Technological Forecasting and Social Change","179",,"121611","","",,29,"10.1016/j.techfore.2022.121611","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126366540&doi=10.1016%2fj.techfore.2022.121611&partnerID=40&md5=037e7fe49c597fbd38253bfa639a91af","School of Business, Central South University, Changsha410083, China; Essex Business School, University of Essex, Colchester CO4 3SQ, UK, United Kingdom; Southampton Statistical Sciences Research Institute, University of Southampton, SO17 1BJ, UK, Southampton, United Kingdom","Ren, X., School of Business, Central South University, Changsha410083, China; Li, Y., School of Business, Central South University, Changsha410083, China; yan, C., Essex Business School, University of Essex, Colchester CO4 3SQ, UK, United Kingdom; Wen, F., School of Business, Central South University, Changsha410083, China; Lu, Z., Southampton Statistical Sciences Research Institute, University of Southampton, SO17 1BJ, UK, Southampton, United Kingdom","The 26th edition of the United Nations climate change conference (COP26) underlines the importance of financial products and markets related to “carbon” (e.g., carbon and green bond markets). We, to our knowledge, are the first to construct a framework based on multiple time scales and market conditions to quantify the interrelationship between the carbon futures and green bond markets. Specifically, we estimate it from short-, medium-, and long-term perspectives and different market conditions by combining the maximum overlap discrete wavelet transform (MODWT) and two quantile methods to decompose the sequences into various frequencies and quantiles. We find that the carbon futures price unilaterally Granger causes the green bond index and empirically analyzes the asymmetric impact of the carbon futures with a two-dimensional quantile model constructed by the quantile-on-quantile (QQ) regression approach. We find positive effects of the carbon futures in the medium to long term and erratic performance in the short term. The effects are more pronounced when both markets are in an extreme state. Our findings enrich the research related to eco-economy and carbon finance, providing a more comprehensive and detailed research framework, and helping others optimize investment portfolios and policy arrangements. © 2022","Carbon futures; Green bond; Quantile granger causality test; Quantile-on-quantile regression; Wavelet analysis","Carbon; Climate change; Commerce; Discrete wavelet transforms; Financial markets; Investments; Carbon future; Carbon markets; Granger causality test; Green bond; Market condition; Quantile granger causality test; Quantile regression; Quantile-on-quantile regression; United Nations; Wavelet-analysis; Wavelet analysis; carbon emission; decomposition analysis; empirical analysis; environmental economics; Granger causality test; market conditions; regression analysis; sustainability; United Nations; wavelet analysis",Article,"Final","",Scopus,2-s2.0-85126366540
"Elmachtoub A.N., Grigas P.","35572996000;57039166700;","Smart ""Predict, then Optimize""",2022,"Management Science","68","1",,"9","26",,29,"10.1287/mnsc.2020.3922","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124246843&doi=10.1287%2fmnsc.2020.3922&partnerID=40&md5=405a4fab5516e5a158d7b64fe27b79bf","Department of Industrial Engineering and Operations Research and Data Science Institute, Columbia University, New York, NY  10027, United States; Department of Industrial Engineering and Operations Research, University of California, Berkeley, Berkeley, CA  94720, United States","Elmachtoub, A.N., Department of Industrial Engineering and Operations Research and Data Science Institute, Columbia University, New York, NY  10027, United States; Grigas, P., Department of Industrial Engineering and Operations Research, University of California, Berkeley, Berkeley, CA  94720, United States","Many real-world analytics problems involve two significant challenges: Prediction and optimization. Because of the typically complex nature of each challenge, the standard paradigm is predict-then-optimize. By and large, machine learning tools are intended to minimize prediction error and do not account for how the predictions will be used in the downstream optimization problem. In contrast, we propose a new and very general framework, called Smart ""Predict, then Optimize"" (SPO), which directly leverages the optimization problem structure-that is, its objective and constraints-for designing better prediction models. A key component of our framework is the SPO loss function, which measures the decision error induced by a prediction. Training a prediction model with respect to the SPO loss is computationally challenging, and, thus, we derive, using duality theory, a convex surrogate loss function, which we call the SPO+ loss. Most importantly, we prove that the SPO+ loss is statistically consistent with respect to the SPO loss under mild conditions. Our SPO+ loss function can tractably handle any polyhedral, convex, or even mixed-integer optimization problem with a linear objective. Numerical experiments on shortest-path and portfolio-optimization problems show that the SPO framework can lead to significant improvement under the predict-then-optimize paradigm, in particular, when the prediction model being trained is misspecified. We find that linear models trained using SPO+ loss tend to dominate random-forest algorithms, even when the ground truth is highly nonlinear. © 2022 INFORMS Inst.for Operations Res.and the Management Sciences. All rights reserved.","Data-driven optimization; Linear regression; Machine learning; Prescriptive analytics","Decision trees; Financial data processing; Integer programming; Machine learning; Structural optimization; Analytic problem; Complex nature; Data-driven optimization; Loss functions; Optimisations; Optimization problems; Prediction errors; Prediction modelling; Prescriptive analytic; Real-world; Forecasting",Article,"Final","",Scopus,2-s2.0-85124246843
"Chopdar P.K., Paul J., Prodanova J.","57201118361;36997235800;56500676400;","Mobile shoppers’ response to Covid-19 phobia, pessimism and smartphone addiction: Does social influence matter?",2022,"Technological Forecasting and Social Change","174",,"121249","","",,28,"10.1016/j.techfore.2021.121249","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116241968&doi=10.1016%2fj.techfore.2021.121249&partnerID=40&md5=35cea676a0336f327af340ca864260ff","Indian Institute of Management, Shillong, India; University of Puerto Rico, San Juan, PR, United States; University of Burgos, Spain; Macedonian Academy of Sciences and Arts, Skopje, North Macedonia","Chopdar, P.K., Indian Institute of Management, Shillong, India; Paul, J., University of Puerto Rico, San Juan, PR, United States; Prodanova, J., University of Burgos, Spain, Macedonian Academy of Sciences and Arts, Skopje, North Macedonia","Because of the Covid-19 pandemic, there has been a variety of changes identified in customers’ shopping behaviours, and development of new practices as a response to the crisis. The purpose of this research is to examine the effects of Covid-19 phobia, and news exposure on individuals’ psychological states, and their resulting mobile shopping behaviour. Relying upon the Activate, Belief and Consequences (ABC) model of the Cognitive-Behaviour Theory, this research applies the partial least square structural modelling (PLS-SEM) methodology for analysing the data from 302 mobile shoppers from India. The results confirm that Covid-19 phobia and Covid-19 news exposure are substantial determinants of consumers’ smartphone addictive use and pessimism, which in turn affect mobile shopping frequency. Additionally, social influence is found to play a vital role in moderating mobile shopping frequency for individuals, who experience smartphone addiction. The current study is a pioneering effort to examine the influence of Covid-19-induced phobia on consumers' psychological states and their subsequent impact on their mobile shopping frequency. The study provides several contributions to theory and practice within the areas of technology use and mobile shopping in particular. © 2021","Covid-19 phobia; Mobile shopping frequency; News exposure; Pessimism; Smartphone addiction; Social influence","Economic and social effects; Least squares approximations; Covid-19 phobia; Mobile shoppers; Mobile shopping; Mobile shopping frequency; News exposure; Pessimism; Shopping behaviour; Smart phones; Smartphone addiction; Social influence; Smartphones; consumption behavior; COVID-19; electronic commerce; information and communication technology; mobile phone; psychology; shopping activity; social behavior; social network; technology adoption; India",Article,"Final","",Scopus,2-s2.0-85116241968
"Ahmad B., Irfan M., Salem S., Asif M.H.","57220201686;57562460800;57221920811;57220195246;","Energy Efficiency in the Post-COVID-19 Era: Exploring the Determinants of Energy-Saving Intentions and Behaviors",2022,"Frontiers in Energy Research","9",,"824318","","",,27,"10.3389/fenrg.2021.824318","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125112080&doi=10.3389%2ffenrg.2021.824318&partnerID=40&md5=c737b000743c1d9e91a43a1b337d3b11","School of Economics and Management, North China Electric Power University, Beijing, China; Riphah School of Business and Management, Riphah International University, Lahore, Pakistan; School of Management and Economics, Beijing Institute of Technology, Beijing, China; Center for Energy and Environmental Policy Research, Beijing Institute of Technology, Beijing, China; Department of Business Administration, ILMA University, Karachi, Pakistan; Department of Economics (DoE), Birmingham Business School (BBS), College of Social Sciences (CoSS), University of Birmingham, Birmingham, United Kingdom","Ahmad, B., School of Economics and Management, North China Electric Power University, Beijing, China, Riphah School of Business and Management, Riphah International University, Lahore, Pakistan; Irfan, M., School of Management and Economics, Beijing Institute of Technology, Beijing, China, Center for Energy and Environmental Policy Research, Beijing Institute of Technology, Beijing, China, Department of Business Administration, ILMA University, Karachi, Pakistan; Salem, S., Department of Economics (DoE), Birmingham Business School (BBS), College of Social Sciences (CoSS), University of Birmingham, Birmingham, United Kingdom; Asif, M.H., School of Economics and Management, North China Electric Power University, Beijing, China","The COVID-19 pandemic has a long-lasting influence on global economies. Households are expected to consume more electricity for their usual routine activities due to mandatory stay-at-home restrictions, resulting in greater energy utilization. The proposed study seeks to investigate the most relevant energy consumption factors amid the COVID-19 pandemic. The study employs a structural equation modeling approach to evaluate the responses from 511 Pakistani residents. Empirical results report a positive and significant association among perceived behavioral control (PBC), perceived environmental concern (PEC), perceived monitory benefits (PMB), and intention to save energy (ISE). Positive anticipated emotions (PAE) is found to be a significant predictor of ISE and energy-saving behavior (ESB). As a step further, we extend the analysis to find the moderating effect of perceived COVID-19 disruptiveness (PCD) between the relationship of ISE and ESB. Results reveal that PCD positively moderates this relationship. Based on research findings, policy implications and future research directions are provided for practitioners, researchers, and academicians to fulfill the country’s energy needs on its way to a future of sustainable development. Copyright © 2022 Ahmad, Irfan, Salem and Asif.","energy saving behavior; intention to save energy; perceived behavioral control; perceived COVID-19 disruptiveness; perceived environmental concern; perceived monetary benefit","Behavioral research; Economics; Energy efficiency; Public policy; Sustainable development; Energy savings; Energy saving behavior; Energy-savings; Environmental concerns; Intention to save energy; Perceived behavioral control; Perceived COVID-19 disruptiveness; Perceived environmental concern; Perceived monetary benefit; Save energy; Energy utilization",Article,"Final","",Scopus,2-s2.0-85125112080
"Ren X., Duan K., Tao L., Shi Y., Yan C.","57037599900;57200080384;57226892069;56564410500;56988306500;","Carbon prices forecasting in quantiles",2022,"Energy Economics","108",,"105862","","",,25,"10.1016/j.eneco.2022.105862","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126015553&doi=10.1016%2fj.eneco.2022.105862&partnerID=40&md5=2658713caceb7a2a551d87ae249acfe1","School of Business, Central South University, Changsha, 410083, China; School of Economics, Huazhong University of Science and Technology, Wuhan, 430074, China; College of Mathematics, Sichuan University, Chengdu, 610065, China; Adam Smith Business School, University of Glasgow, UK, Glasgow, G12 8QQ, United Kingdom; Essex Business School, University of Essex, UK, Colchester, CO4 3SQ, United Kingdom","Ren, X., School of Business, Central South University, Changsha, 410083, China; Duan, K., School of Economics, Huazhong University of Science and Technology, Wuhan, 430074, China; Tao, L., College of Mathematics, Sichuan University, Chengdu, 610065, China; Shi, Y., Adam Smith Business School, University of Glasgow, UK, Glasgow, G12 8QQ, United Kingdom; Yan, C., Essex Business School, University of Essex, UK, Colchester, CO4 3SQ, United Kingdom","This paper proposes two new methods (the Quantile Group LASSO and the Quantile Group SCAD models) to evaluate the predictability of a large group of factors on carbon futures returns. The most powerful predictors are selected through the dimension-reduction mechanism of the two models, while potential differences of the statistically significant predictors for different quantiles of carbon returns are carefully considered. First, we find that the proposed models outperform a series of competing ones with respect to prediction accuracy. Second, impacts of the selected predictors over the carbon price distribution are estimated through a quantile approach, which outperforms the mean shrinkage model in our case with data featured by a non-normal distribution. Specifically, the Brent spot price, the crude oil closing stock in the UK, and the growth of natural gas production in the UK are found to impact carbon futures returns only in extreme conditions with a strong asymmetric feature. Importantly, our estimators remain robust against the extreme event caused by the Covid-19. Our findings reveal that the identification of appropriate carbon return predictors and their impacts hinge on the carbon market conditions, and should be of interest to various stakeholders. © 2022 Elsevier B.V.","Carbon return predictability; Dimension reduction techniques; LASSO penalty; Out-of-sample forecasting; Quantile regression; SCAD penalty; Variable selection","Binary alloys; Carbon; Costs; Natural gas; Natural gas well production; Normal distribution; Carbon price; Carbon return predictability; Dimension reduction techniques; LASSO penalty; Out-of-sample forecasting; Price forecasting; Quantile regression; Returns predictabilities; SCAD penalty; Variables selections; Forecasting; environmental economics; forecasting method; future prospect; machine learning; pollution tax; prediction; regression analysis; United Kingdom",Article,"Final","",Scopus,2-s2.0-85126015553
"Cui R., Ding H., Zhu F.","56954417900;57219752983;35749187800;","Gender Inequality in Research Productivity During the COVID-19 Pandemic",2022,"Manufacturing and Service Operations Management","24","2",,"707","726",,23,"10.1287/msom.2021.0991","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132232295&doi=10.1287%2fmsom.2021.0991&partnerID=40&md5=dccfd68c894bc62a2bf8563c1275043b","Goizueta Business School, Emory University, Atlanta, GA  30322, United States; Harvard Business School, Harvard University, Cambridge, MA  02163, United States","Cui, R., Goizueta Business School, Emory University, Atlanta, GA  30322, United States; Ding, H., Goizueta Business School, Emory University, Atlanta, GA  30322, United States; Zhu, F., Harvard Business School, Harvard University, Cambridge, MA  02163, United States","Problem definition: We study the disproportionate impact of the lockdown as a result of the COVID-19 outbreak on female and male academic research productivity in social science. Academic/practical relevance: The lockdown has caused substantial disruptions to academic activities, requiring people to work from home. How this disruption affects productivity and the related gender equity is an important operations and societal question. Methodology: We collect data from the largest open-access preprint repository for social science on 41,858 research preprints in 18 disciplines produced by 76,832 authors across 25 countries over a span of two years. We use a difference-in-differences approach leveraging the exogenous pandemic shock. Results: Our results indicate that, in the 10 weeks after the lockdown in the United States, although total research productivity increased by 35%, female academics’ productivity dropped by 13.2% relative to that of male academics. We also show that this intensified productivity gap is more pronounced for assistant professors and for academics in top-ranked universities and is found in six other countries. Managerial implications: Our work points out the fairness issue in productivity caused by the lockdown, a finding that universities will find helpful when evaluating faculty productivity. It also helps organizations realize the potential unintended consequences that can arise from telecommuting. © 2021 INFORMS","COVID-19; gender inequality; research productivity; telecommuting","Behavioral research; Productivity; Academic activities; Academic productivity; Academic research; Difference-in-differences; Differences-in-differences; Gender equity; Gender inequality; OpenAccess; Problem definition; Research productivity; COVID-19",Article,"Final","",Scopus,2-s2.0-85132232295
